Unnamed: 0,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
3,eucalipto,-48.2348555,-23.0168264,2020-03-01,2020-03-21,0.8731,0.5853,2.8271051855648266,,60.733280181884766,26.666293833961618
4,eucalipto,-48.2348555,-23.0168264,2020-03-21,2020-04-10,0.8707,0.5918,2.59506996940164,,42.337438695571,25.32868552108164
5,eucalipto,-48.2348555,-23.0168264,2020-04-10,2020-04-30,0.8595,0.5641,2.323733028243569,,24.682963427375345,24.05914085413434
6,eucalipto,-48.2348555,-23.0168264,2020-04-30,2020-05-20,0.8507,0.575,2.062935983433442,12.499404907226562,17.49058162464815,22.527212515918563
7,eucalipto,-48.2348555,-23.0168264,2020-05-20,2020-06-09,0.8391,0.5105,1.7591653851901785,14.58837537204518,15.408228818108054,20.736992448446077
8,eucalipto,-48.2348555,-23.0168264,2020-06-09,2020-06-29,0.8316,0.4858,1.4984824236701515,22.93310838587144,20.132858276367188,22.68123349493959
9,eucalipto,-48.2348555,-23.0168264,2020-06-29,2020-07-19,0.8151,0.4755,1.346782887683195,40.40508629294003,40.54876080681296,20.895927793766987
10,eucalipto,-48.2348555,-23.0168264,2020-07-19,2020-08-08,0.8191,0.4921,1.2492510536137749,32.72078300924862,29.062181136187384,22.393752427488607
11,eucalipto,-48.2348555,-23.0168264,2020-08-08,2020-08-28,0.8092,0.481,1.214228019994848,24.388294219970703,35.07898398006663,22.87785355148941
12,eucalipto,-48.2348555,-23.0168264,2020-08-28,2020-09-17,0.7794,0.4611,1.243609063765582,50.41197967529297,39.56943377326517,27.36517572384548
13,eucalipto,-48.2348555,-23.0168264,2020-09-17,2020-10-07,0.7549,0.4399,1.3701713716282562,8.468692891737994,18.79940492966596,31.660880820989465
14,eucalipto,-48.2348555,-23.0168264,2020-10-07,2020-10-27,0.752,0.4401,1.6056128459818224,17.194701138664694,13.353081310496613,29.58374984440485
15,eucalipto,-48.2348555,-23.0168264,2020-10-27,2020-11-16,0.7886,0.5122,1.9448883252985336,13.25491579841165,8.91278844721177,30.586505021167227
16,eucalipto,-48.2348555,-23.0168264,2020-11-16,2020-12-06,0.8422,0.5049,2.171509637552149,17.576929092407227,16.701610789579505,29.35650392709232
17,eucalipto,-48.2348555,-23.0168264,2020-12-06,2020-12-26,0.8323,0.6722,2.426545507767621,20.1961991927203,11.256022621603574,28.969124407009417
18,eucalipto,-48.2348555,-23.0168264,2020-12-26,2021-01-15,0.84,0.6949,2.5543593799366677,18.48372105991139,12.151610767140108,29.001128860489928
19,eucalipto,-48.2348555,-23.0168264,2021-01-15,2021-02-04,0.8559,0.6329,2.8153369987712185,23.00061674679027,18.66815466039321,26.63680704811702
20,eucalipto,-48.2348555,-23.0168264,2021-02-04,2021-02-24,0.8519,0.6343,2.9638138238121483,8.578212233150706,10.1185458688175,27.24336139348759
21,eucalipto,-48.2348555,-23.0168264,2021-02-24,2021-03-16,0.8741,0.6268,2.8787714874043187,,7.306125304278206,26.995362110378096
22,eucalipto,-48.2348555,-23.0168264,2021-03-16,2021-04-05,0.8648,0.6008,2.65239161603591,,6.197637726278866,26.8303919190501
23,eucalipto,-48.2348555,-23.0168264,2021-04-05,2021-04-25,0.8572,0.5527,2.401057607987348,,5.00348466985366,25.17644391196308
24,eucalipto,-48.2348555,-23.0168264,2021-04-25,2021-05-15,0.8451,0.5651,2.12128289306865,,4.299500058679019,22.95503137437652
25,eucalipto,-48.2348555,-23.0168264,2021-05-15,2021-06-04,0.843,0.5214,1.8417716727537263,5.413058056550867,3.350500064737657,21.74738027383927
26,eucalipto,-48.2348555,-23.0168264,2021-06-04,2021-06-24,0.8368,0.4747,1.5493492028292488,9.83547810947194,3.9872926824233113,20.544651577389686
27,eucalipto,-48.2348555,-23.0168264,2021-06-24,2021-07-14,0.7822,0.4521,1.3802393183988684,9.768155097961426,5.979082079494701,19.469611652192384
28,eucalipto,-48.2348555,-23.0168264,2021-07-14,2021-08-03,0.7587,0.4245,1.2669765283079708,4.6396346022101005,3.686565090628231,21.059989437902573
29,eucalipto,-48.2348555,-23.0168264,2021-08-03,2021-08-23,0.7026,0.3659,1.218740042518167,15.070833206176758,6.28648957084207,26.143850019216305
30,eucalipto,-48.2348555,-23.0168264,2021-08-23,2021-09-12,0.7055,0.3906,1.2289433864986197,17.927976608276367,4.631456908057719,27.83895715437626
31,eucalipto,-48.2348555,-23.0168264,2021-09-12,2021-10-02,0.772,0.4265,1.3267000352635103,4.726877689361572,3.1039211890276737,28.162027917865885
32,eucalipto,-48.2348555,-23.0168264,2021-10-02,2021-10-22,0.7986,0.4621,1.5388064103968004,19.532538694493912,8.082259122063132,27.76950421144352
33,eucalipto,-48.2348555,-23.0168264,2021-10-22,2021-11-11,0.8189,0.4769,1.852279782295227,41.4639908285702,27.59195978501264,28.939213740659625
34,eucalipto,-48.2348555,-23.0168264,2021-11-11,2021-12-01,0.8206,0.4876,2.129020242130055,11.809749603271484,22.16870700611788,29.79942593668312
35,eucalipto,-48.2348555,-23.0168264,2021-12-01,2021-12-21,0.8136,0.5586,2.363047950408038,20.160150752348056,15.012323996599982,28.0092518982616
36,eucalipto,-48.2348555,-23.0168264,2021-12-21,2022-01-10,0.5181,0.3589,2.527069203993854,28.30115497813505,16.66593647003174,29.852253848388045
37,eucalipto,-48.2348555,-23.0168264,2022-01-10,2022-01-30,0.8421,0.538,2.742160432478961,29.500206779031192,28.318944257848404,28.34937499135583
38,eucalipto,-48.2348555,-23.0168264,2022-01-30,2022-02-19,0.8692,0.5225,2.947083304910098,57.87130961698645,51.33837217443129,27.052457675799644
39,eucalipto,-48.2348555,-23.0168264,2022-02-19,2022-03-11,0.8211,0.5581,2.9224345123066624,17.730213165283203,16.073302212883444,28.641589580910026
40,eucalipto,-48.2348555,-23.0168264,2022-03-11,2022-03-31,0.8602,0.5536,2.711038070566514,,17.15308099634507,26.277365427437303
41,eucalipto,-48.2348555,-23.0168264,2022-03-31,2022-04-20,0.8729,0.5248,2.472574037664077,,15.487272935755112,24.41172281044544
42,eucalipto,-48.2348555,-23.0168264,2022-04-20,2022-05-10,0.8419,0.515,2.1791764287387623,,11.747934453627645,24.451925795184597
43,eucalipto,-48.2348555,-23.0168264,2022-05-10,2022-05-30,0.8178,0.4916,1.9247561482822195,5.527248719159294,9.49168654049144,20.643660987671467
44,eucalipto,-48.2348555,-23.0168264,2022-05-30,2022-06-19,0.8182,0.4837,1.6090638777788948,23.740644903743966,18.889480366426355,19.21027841168427
45,eucalipto,-48.2348555,-23.0168264,2022-06-19,2022-07-09,0.8159,0.4574,1.4171945768244123,25.238224029541016,19.76852192598231,21.44340758283249
46,eucalipto,-48.2348555,-23.0168264,2022-07-09,2022-07-29,0.765,0.4271,1.2889453803791715,14.89744405185475,16.072198531206915,22.177937015061676
47,eucalipto,-48.2348555,-23.0168264,2022-07-29,2022-08-18,0.7517,0.4084,1.226672905332902,10.915135383605955,12.524772363550523,21.96519451705552
48,eucalipto,-48.2348555,-23.0168264,2022-08-18,2022-09-07,0.7426,0.394,1.219671224846559,9.689881324768066,10.801242828369142,23.966628618452944
49,eucalipto,-48.2348555,-23.0168264,2022-09-07,2022-09-27,0.7306,0.4217,1.2909191776724422,14.499404907226562,10.476243075202492,24.919571110465768
50,eucalipto,-48.2348555,-23.0168264,2022-09-27,2022-10-17,0.7801,0.458,1.4779692677890552,64.0161512038287,48.98184585571289,24.053440894568723
51,eucalipto,-48.2348555,-23.0168264,2022-10-17,2022-11-06,0.7963,0.5849,1.7613412983277268,44.88560239006492,43.97523161944221,26.48041134761587
52,eucalipto,-48.2348555,-23.0168264,2022-11-06,2022-11-26,0.8127,0.5437,2.08188296065611,28.673704147338867,30.54748882966883,27.712701292317888
53,eucalipto,-48.2348555,-23.0168264,2022-11-26,2022-12-16,0.846,0.553,2.2932818917667164,45.26753683651195,26.17030671063592,28.57203587679629
54,eucalipto,-48.2348555,-23.0168264,2022-12-16,2023-01-05,0.7535,0.5024,2.503557135077084,33.75600814819336,27.37558578042423,27.51983300831233
55,eucalipto,-48.2348555,-23.0168264,2023-01-05,2023-01-25,0.853,0.5631,2.667232134762932,61.83659519868739,56.89055992575253,26.46807144931745
56,eucalipto,-48.2348555,-23.0168264,2023-01-25,2023-02-14,0.825,0.6521,2.91868592711056,61.37677001953125,59.18100559010225,26.87951495788559
57,eucalipto,-48.2348555,-23.0168264,2023-02-14,2023-03-06,0.8709,0.5322,2.951296581941492,87.21007582720587,81.68828313490924,25.43796108045302
58,eucalipto,-48.2348555,-23.0168264,2023-03-06,2023-03-26,0.8634,0.5477,2.770065602134256,,84.9610761754653,25.068563704133965
